Country,Count
Afghanistan,2
Algeria,1
Argentina,1
Australia,35
Austria,4
Bangladesh,1
Belgium,5
Bosnia and Herzegovina,2
Brazil,10
Brunei,1
Bulgaria,7
Canada,78
Chile,3
China,1
Colombia,2
Costa Rica,1
Czech Republic,3
Denmark,7
Ecuador,1
Estonia,2
Finland,7
France,16
Germany,58
Greece,1
Guatemala,1
Hungary,1
India,9
Iran,1
Ireland,15
Israel,2
Italy,5
Japan,2
Lithuania,2
Mexico,2
Netherlands,48
New Zealand,9
Norway,3
Other,2
Pakistan,3
Poland,4
Romania,4
Russia,9
Serbia,1
Slovakia,1
South Africa,4
Spain,4
Sweden,19
Switzerland,10
Taiwan,1
United Kingdom,180
United States of America,840
Venezuela,1
Vietnam,1
